City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Wajir,KE,1.7471,40.0573,85.28,31,3,6.35,clear sky
240,Svetlograd,RU,45.3353,42.8547,35.58,88,100,4.09,light rain
241,Mutoko,ZW,-17.397,32.2268,64.72,89,100,7.96,light rain
242,Ciney,BE,50.2945,5.1002,48.09,91,100,14.16,overcast clouds
243,Saint-Augustin,CA,51.226,-58.6502,7.97,80,100,14.74,overcast clouds
244,Aklavik,CA,68.2191,-135.0107,-15.77,76,75,3.44,broken clouds
245,Ucluelet,CA,48.9329,-125.5528,43.11,90,100,7.78,light rain
246,Banjar,ID,-8.19,114.9675,78.66,89,100,3.42,overcast clouds
247,Rajauri,IN,33.3833,74.3,45.7,45,0,6.62,clear sky
248,Coihaique,CL,-45.5752,-72.0662,64.35,55,75,10.36,light intensity shower rain
249,Belyy Yar,RU,53.6039,91.3903,-14.91,76,40,2.24,smoke
250,Kanniyakumari,IN,8.0833,77.5667,78.42,81,23,16.44,few clouds
251,Leh,IN,34.1667,77.5833,-0.71,95,99,2.15,overcast clouds
252,Okhotsk,RU,59.3833,143.3,13.32,80,100,15.08,overcast clouds
253,Eura,FI,61.1333,22.1333,32.22,97,100,13.73,light snow
254,Saint-Joseph,RE,-21.3667,55.6167,79.18,82,44,10.51,scattered clouds
255,Dunnville,CA,42.9001,-79.6163,17.49,66,8,6.69,clear sky
256,Black Diamond,US,47.3087,-122.0032,50.25,57,100,1.41,overcast clouds
257,Kargopol,RU,61.5071,38.9456,-1.08,100,100,4.23,overcast clouds
258,Kandri,IN,21.4167,79.2667,53.17,31,0,3.38,clear sky
259,Bulgan,MN,48.8125,103.5347,-6.63,94,97,4.65,overcast clouds
260,Altamira,BR,-3.2033,-52.2064,78.89,94,100,5.75,overcast clouds
261,Libohove,AL,40.0311,20.2631,45.43,76,3,6.69,clear sky
262,Sampit,ID,-2.5333,112.95,72.63,91,100,1.39,overcast clouds
263,Namuac,PH,18.6109,121.1657,74.32,95,99,8.23,moderate rain
264,Siderno,IT,38.2779,16.302,51.57,60,3,8.68,clear sky
265,Moerai,PF,-22.4333,-151.3333,79.29,76,2,8.97,clear sky
266,Erenhot,CN,43.6475,111.9767,6.8,88,100,7.94,overcast clouds
267,Umm Kaddadah,SD,13.6017,26.6876,58.41,17,7,13.51,clear sky
268,Narsaq,GL,60.9167,-46.05,14.22,94,99,3.78,overcast clouds
269,Marsa Matruh,EG,31.3525,27.2453,54.39,57,3,13.62,clear sky
270,Port-Cartier,CA,50.0334,-66.8654,4.75,80,100,10.29,overcast clouds
271,Tuatapere,NZ,-46.1333,167.6833,57.42,93,100,4.59,moderate rain
272,Kisanga,TZ,-7.4362,37.7034,73.29,97,100,4.07,overcast clouds
273,Fukue,JP,32.6881,128.8419,47.82,50,100,16.06,overcast clouds
274,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,73.06,94,100,3.09,light rain
275,Meadow Lake,US,34.8014,-106.5436,51.4,29,61,4.47,broken clouds
276,Phalaborwa,ZA,-23.943,31.1411,72.68,81,100,12.55,overcast clouds
277,Khanpur,PK,28.6453,70.6567,60.91,18,77,4.83,broken clouds
278,Patea,NZ,-39.7583,174.4833,68.67,73,0,8.86,clear sky
279,Sokolo,ML,14.7328,-6.1219,81.9,13,9,12.95,clear sky
280,Katherine,AU,-14.4667,132.2667,79.12,89,100,11.5,overcast clouds
281,Srivardhan,IN,18.0333,73.0167,70.45,55,5,3.78,clear sky
282,Portland,US,45.5234,-122.6762,49.95,59,20,1.99,few clouds
283,Vostok,RU,46.4856,135.8833,-17.19,99,100,3.8,overcast clouds
284,Port Blair,IN,11.6667,92.75,77.04,83,75,2.3,mist
285,Touros,BR,-5.1989,-35.4608,81.5,73,100,10.27,overcast clouds
286,Taoudenni,ML,22.6783,-3.9836,75.24,11,100,13.67,overcast clouds
287,Seymchan,RU,62.8833,152.4333,-9.15,99,100,5.14,light snow
288,Gaspe,CA,48.8334,-64.4819,10.31,66,100,11.5,overcast clouds
289,Miramar,US,25.9873,-80.2323,61.02,40,0,20.71,clear sky
290,Tayturka,RU,52.8692,103.4608,-23.55,100,86,0.18,overcast clouds
291,San Andres,CO,12.5847,-81.7006,84.22,61,20,10.36,few clouds
292,Oistins,BB,13.0667,-59.5333,80.69,65,40,17.27,scattered clouds
293,Bhalki,IN,18.0333,77.2167,61.66,23,5,3.09,clear sky
294,Srednekolymsk,RU,67.45,153.6833,-23.93,100,93,4.94,overcast clouds
295,Olinda,BR,-8.0089,-34.8553,80.33,78,75,5.75,broken clouds
296,Muncar,ID,-8.4333,114.3333,76.64,90,100,3.15,overcast clouds
297,Kalabo,ZM,-14.97,22.6814,65.5,92,95,5.55,overcast clouds
298,Antalaha,MG,-14.9003,50.2788,74.43,87,11,6.02,few clouds
299,Lompoc,US,34.6391,-120.4579,68.13,40,0,0.0,clear sky
300,La Ronge,CA,55.1001,-105.2842,8.85,66,100,4.61,overcast clouds
301,Boguchany,RU,58.3814,97.4531,-0.11,98,100,2.33,overcast clouds
302,Mackay,AU,-21.15,149.2,75.69,76,22,11.9,few clouds
303,Tahta,EG,26.7693,31.5021,51.19,49,0,5.95,clear sky
304,Bambous Virieux,MU,-20.3428,57.7575,80.85,78,40,9.22,scattered clouds
305,Cururupu,BR,-1.8283,-44.8683,74.62,95,100,2.66,light rain
306,Ravar,IR,31.2656,56.8055,49.48,29,0,5.59,clear sky
307,Belmonte,BR,-15.8631,-38.8828,84.7,74,18,11.14,few clouds
308,Orsk,RU,51.2049,58.5668,2.3,85,0,8.95,clear sky
309,Serik,TR,36.9169,31.0989,46.74,71,100,5.88,overcast clouds
310,San Cristobal,VE,7.7669,-72.225,78.98,38,6,8.88,clear sky
311,Constitucion,CL,-35.3333,-72.4167,65.84,74,51,11.23,broken clouds
312,Vieste,IT,41.8825,16.175,39.7,58,6,19.53,clear sky
313,Glendive,US,47.1053,-104.7125,42.49,54,0,5.75,clear sky
314,Aquiraz,BR,-3.9014,-38.3911,84.29,72,89,9.4,overcast clouds
315,Cabo San Lucas,MX,22.8909,-109.9124,83.5,58,0,4.0,clear sky
316,Krasne,UA,49.9145,24.6134,33.19,80,99,18.66,overcast clouds
317,Dawlatabad,AF,36.4141,64.9053,41.07,70,100,3.98,overcast clouds
318,Abu Zabad,SD,12.35,29.25,64.26,14,67,13.35,broken clouds
319,Kharagauli,GE,42.0214,43.1977,28.76,79,80,6.42,broken clouds
320,Russell,US,32.3502,-85.1999,43.05,21,0,14.97,clear sky
321,Brownfield,US,33.1812,-102.2744,62.4,11,3,12.97,clear sky
322,Ostrovnoy,RU,68.0531,39.5131,13.37,89,100,15.12,overcast clouds
323,Ojinaga,MX,29.5667,-104.4167,61.57,35,40,0.0,scattered clouds
324,Coruripe,BR,-10.1256,-36.1756,78.33,65,100,4.18,overcast clouds
325,Henties Bay,NA,-22.116,14.2845,63.86,82,53,5.19,broken clouds
326,Tamandare,BR,-8.7597,-35.1047,77.16,73,100,4.29,overcast clouds
327,Belaya Gora,RU,68.5333,146.4167,-12.59,99,100,1.57,overcast clouds
328,Vestmannaeyjar,IS,63.4427,-20.2734,40.28,67,100,18.39,overcast clouds
329,Zachary,US,30.6485,-91.1565,54.79,25,0,8.05,clear sky
330,Mnogovershinnyy,RU,53.9353,139.9242,-6.2,98,100,5.53,overcast clouds
331,Neryungri,RU,56.6709,124.6491,-8.64,94,100,9.75,overcast clouds
332,Atar,MR,20.5169,-13.0499,77.54,18,100,4.41,overcast clouds
333,Bani Walid,LY,31.7566,13.9942,50.81,72,53,17.27,broken clouds
334,Bogatynia,PL,50.9075,14.9563,45.88,86,100,11.99,overcast clouds
335,Tateyama,JP,34.9833,139.8667,41.05,83,59,13.62,broken clouds
336,Luanda,AO,-8.8368,13.2343,78.73,86,100,8.34,overcast clouds
337,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,16.11,clear sky
338,Bengkulu,ID,-3.8004,102.2655,76.19,90,100,3.89,very heavy rain
339,Saldanha,ZA,-33.0117,17.9442,65.37,85,0,18.48,clear sky
340,Saint-Benoit,RE,-21.038,55.7194,80.71,83,49,11.88,scattered clouds
341,Cologno Al Serio,IT,45.5821,9.7088,45.75,44,0,3.44,clear sky
342,Nykoping,SE,58.753,17.0079,43.43,96,100,11.01,overcast clouds
343,Suntar,RU,62.1444,117.6319,-17.68,97,39,4.9,scattered clouds
344,Kutum,SD,14.2,24.6667,56.66,16,29,10.07,scattered clouds
345,Palmer,US,42.1584,-72.3287,15.93,79,100,4.0,light snow
346,Cap Malheureux,MU,-19.9842,57.6142,81.09,75,81,3.0,broken clouds
