City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Bayeux,BR,81.23,broken clouds,-7.125,-34.9322,Infinity Motel
590,Bubaque,GW,78.26,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
595,Plettenberg Bay,ZA,65.37,clear sky,-34.0527,23.3716,Thanda Vista B&B
597,Namibe,AO,72.39,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
600,Lucea,JM,80.46,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
601,Nizwa,OM,70.34,clear sky,22.9333,57.5333,Orient Apartments
603,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
607,Adelaide,AU,68.41,few clouds,-34.9333,138.6,The Chancellor on Currie
608,Mizan Teferi,ET,68.49,few clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
612,Palu,ID,75.43,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
613,Santa Cruz De Tenerife,ES,67.28,haze,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
614,Fare,PF,80.58,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
615,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
620,Meulaboh,ID,77.63,overcast clouds,4.1363,96.1285,Kost Pria
624,Hambantota,LK,77.99,broken clouds,6.1241,81.1185,Bungalow 63
628,Kaeo,NZ,68.32,broken clouds,-35.1,173.7833,Bushido Lodge
633,Ampatuan,PH,73.89,overcast clouds,6.8667,124.4667,Warda Convention Hall
636,Coquimbo,CL,67.73,few clouds,-29.9533,-71.3436,Hostel Del Puerto
638,Ca Mau,VN,73.87,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
642,Calvinia,ZA,84.09,clear sky,-31.4707,19.776,Die Lemoenhuis
646,Linden,GY,84.34,broken clouds,6.0,-58.3,Crimson Bat Hotel
654,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
655,Namatanai,PG,79.48,light rain,-3.6667,152.4333,Seagulls Inn Namatani
661,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
664,Singapore,SG,78.84,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
669,Singaraja,ID,77.97,moderate rain,-8.112,115.0882,Puri Bagus Lovina Resort
673,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
678,Quatre Cocos,MU,80.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
681,Ellisras,ZA,70.09,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
