City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Huarmey,PE,1/23/2022 21:37,-10.0681,-78.1522,75,78,57,10.78
92,Bethel,US,1/23/2022 21:37,41.3712,-73.414,34.75,57,90,1.01
93,Chongwe,ZM,1/23/2022 21:34,-15.3292,28.682,61.09,94,3,1.34
94,Manicore,BR,1/23/2022 21:38,-5.8092,-61.3003,75.6,91,100,1.43
95,Sorland,NO,1/23/2022 21:38,67.667,12.6934,46.47,89,100,54.65
96,Barrow,US,1/23/2022 21:38,71.2906,-156.7887,-0.38,78,100,3.44
97,Buncrana,IE,1/23/2022 21:38,55.1333,-7.45,43.93,82,100,11.95
98,East London,ZA,1/23/2022 21:38,-33.0153,27.9116,73.24,76,0,21.18
99,Vaini,TO,1/23/2022 21:38,-21.2,-175.2,81.12,72,22,10.22
100,Nyurba,RU,1/23/2022 21:38,63.2842,118.3319,-6.95,98,86,6.17
101,Kaitangata,NZ,1/23/2022 21:38,-46.2817,169.8464,54.93,68,65,4.29
102,Bako,ET,1/23/2022 21:38,5.7833,36.5667,69.71,49,56,2.84
103,Hami,CN,1/23/2022 21:38,42.8,93.45,22.41,59,0,5.41
104,Poum,NC,1/23/2022 21:38,-20.2333,164.0167,80.91,68,97,10.89
105,Dingle,PH,1/23/2022 21:38,10.9995,122.6711,73.92,94,88,6.98
106,Sasebo,JP,1/23/2022 21:38,33.1592,129.7228,50,81,99,20.96
107,Kautokeino,NO,1/23/2022 21:35,69.0125,23.0412,36.54,94,100,35.25
108,Marzuq,YE,1/23/2022 21:38,14.4,46.4667,61.54,71,34,1.66
109,Port Alfred,ZA,1/23/2022 21:38,-33.5906,26.891,73.09,78,0,21.72
110,Chuy,UY,1/23/2022 21:38,-33.6971,-53.4616,75.18,94,72,6.44
111,Hasaki,JP,1/23/2022 21:38,35.7333,140.8333,37.8,74,100,17.25
112,Bilibino,RU,1/23/2022 21:38,68.0546,166.4372,-28.48,96,100,4.29
113,Mehamn,NO,1/23/2022 21:38,71.0357,27.8492,42.75,65,0,41.43
114,Iqaluit,CA,1/23/2022 21:38,63.7506,-68.5145,-7.87,64,100,6.91
115,Wanning,CN,1/23/2022 21:38,18.8003,110.3967,71.46,92,82,5.44
116,Lindi,TZ,1/23/2022 21:38,-10,39.7167,73.69,96,100,3.85
117,Huilong,CN,1/23/2022 21:38,31.8111,121.655,47.03,85,100,13.56
118,Saskylakh,RU,1/23/2022 21:38,71.9167,114.0833,-17.07,100,95,5.03
119,Jamestown,US,1/23/2022 21:38,42.097,-79.2353,25.09,65,100,5.99
120,Faya,SA,1/23/2022 21:38,18.3851,42.4509,50.52,64,18,2.86
121,Arraial Do Cabo,BR,1/23/2022 21:38,-22.9661,-42.0278,80.56,78,0,17.27
